implementacion,frames,width,height,fps_original,fps_efectivos,tiempo_lectura,tiempo_filtrado,tiempo_escritura,tiempo_cpu_gpu,tiempo_gpu_cpu,tiempo_total,ram_mb,gpu_mb,codec,speedup
Secuencial,1177,3840,2160,30.0,3.1526036272144,3.219415118011966,318.16731049897135,51.770654207975895,0.0,0.0,373.3422082750003,1146.72265625,0.0,mp4v + ffmpeg audio,1.0
PyTorch CPU,1177,3840,2160,30.0,4.263722769565765,3.310253970998019,188.1847739899713,84.36238312197747,0.0,0.0,276.04984273399896,1192.0078125,0.0,mp4v + ffmpeg audio,1.3524449229074622
PyTorch CUDA,1177,3840,2160,30.0,11.409809629074193,3.305359806978231,7.629486941968935,82.22703715496755,5.040685809046408,4.537871149110288,103.1568482090006,1396.6484375,309.8447265625,mp4v + ffmpeg audio,3.6191703678130174
